110,111,177,261,363,474
120,128,197,286,391,507
130,143,217,309,419,539
140,159,236,332,445,568
150,174,254,354,470,597
160,189,272,375,494,624
170,204,289,395,518,650
180,218,306,415,540,675
190,231,322,434,562,699
200,245,338,452,583,723
210,258,354,470,603,745
220,271,369,487,623,767
230,284,384,504,642,788
240,296,398,521,660,809
250,308,412,537,678,828
260,320,426,552,696,848
270,332,439,568,713,867
280,343,452,583,729,885
290,354,465,597,746,903
300,365,477,611,762,920
310,376,490,625,777,937
