110,113,166,232,309,392
120,130,186,255,336,423
130,146,205,278,362,452
140,162,224,300,387,480
150,178,243,321,411,507
160,193,260,342,434,532
170,208,278,361,456,557
180,223,295,381,478,580
190,237,311,399,498,603
200,251,327,417,519,625
210,264,342,435,538,647
220,278,357,452,557,668
230,291,372,468,575,688
240,304,387,484,593,707
250,316,401,500,611,726
260,328,415,516,628,745
270,340,428,531,644,763
280,352,441,545,660,780
290,364,454,560,676,798
300,375,467,574,692,814
310,386,479,587,707,831
