110,36,99,198,331,489
120,48,118,224,364,530
130,60,137,250,397,569
140,73,155,274,428,606
150,85,173,299,458,641
160,98,191,322,487,675
170,111,209,345,515,708
180,124,226,367,542,740
190,136,243,389,568,771
200,149,260,410,593,800
210,162,277,431,618,829
220,174,293,451,642,857
230,186,309,470,666,884
240,198,324,490,689,910
250,210,340,508,711,936
260,222,355,527,733,961
270,234,370,545,754,985
280,246,384,562,775,1009
290,257,399,580,795,1032
300,269,413,597,815,1054
310,280,427,613,834,1076
